Vehicle Identification Number,City,State,Postal Code,Legislative District,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range
WB533CF0XP,Bothell,WA,98012,1,2023,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
JN1AF0BA8P,Bothell,WA,98011,1,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
1N4BZ1BV8N,Bothell,WA,98012,1,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
1N4BZ1DVXN,Bothell,WA,98021,1,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
KM8K53AG3L,Bothell,WA,98011,1,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258
1V2GNPE81P,Bothell,WA,98021,1,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
KNDRJDLH1N,Bothell,WA,98021,1,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32
1N4BZ1CV1M,Bothell,WA,98012,1,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
KNDC3DLCXN,Bothell,WA,98012,1,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
1G1FY6S00N,Bothell,WA,98021,1,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
KM8KNDAF6P,Bothell,WA,98012,1,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
WVGUNPE23N,Bothell,WA,98021,1,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
1N4CZ1CV1P,Bothell,WA,98021,1,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
KNDC4DLC3P,Bothell,WA,98021,1,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
5UXTA6C0XM,Bothell,WA,98012,1,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30
WBY8P2C07M,Bothell,WA,98011,1,2021,BMW,I3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
KM8KRDAF5P,Bothell,WA,98021,1,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0
